,scDDboost,scDD,MAST,DESeq
GSE64016,0,413,296,1615
GSE45719,0,0,0,853
GSE63818,0,0,0,574
GSE48968,0,0,0,1012
GSE60749,0,0,0,5
GSE74596,0,0,0,1538
EMTAB2805,0,0,0,166
GSE71585,0,0,0,1147
