,scDDboost,scDD,MAST,DESeq
GSE64016,0,999,657,2841
GSE45719,0,0,0,1345
GSE63818,0,0,0,1119
GSE48968,0,0,0,1794
GSE60749,0,0,0,52
GSE74596,0,0,0,2237
EMTAB2805,0,0,0,531
GSE71585,0,0,0,1662
