,scDDboost,scDD,MAST,DESeq
NPC-DEC,6349,5982,5624,8439
DEC-EC,4870,3818,4924,8127
GSE45719,9313,6416,5652,11202
GSE63818,7760,2784,873,8934
GSE48968,8083,4585,3396,7548
GSE60749,19215,25154,13674,23178
GSE74596,3736,1409,540,3796
EMTAB2805,5295,2202,1088,5391
GSE71585,3801,3906,2415,5890
